Listing Number,Street Number,Street Number Modifier,Street Direction,Street Name,Street Suffix,Street Post Direction,Unit,City,State,Zip Code,County,Community,Area,Listing Price,Original Price,Selling Price,Status,DOM,CDOM,Bedrooms,Baths Full Total,Baths Half Total,Bathrooms,Type Of Property,Square Footage,Lot Square Footage ,Year Built,Age Restriction,Basement,Fireplaces Total,Fireplace Type,Interior Features,Floor Covering,Architecture,Parking Covered Total,Parking Type,Building Complex Or Project Name,Lot Details,Style Code,Roof,Association,Association Dues,Home Owner Dues Included,Number Of Units In Complex,Unit Features,Agent Only Comments,Marketing Comments,Heating Cooling Type,Listing Date,Water,Energy Source,Power Company,Sewer Company,Community Features,Expiration Date,Listing Agent Full Name,Listing Office Name,Listing Office Phone,Selling Date,Selling Agent Full Name,Selling Office Name,Selling Office Phone,Sale Type 
2523278,12517,,,22nd,Ave,NE,,Seattle,WA,98125,King,Olympic Hills,710 - North Seattle,884000,884000,,Active,1,80,3,1,0,1.75,,1390,6679,1941,,Fully Finished,1,,"Dbl Pane/Storm Windw, Dining Room, Walk-in Closet","Ceramic Tile, Vinyl Plank, Wall to Wall Carpet",Craftsman,1,"Driveway Parking, Garage-Attached",,"Dead End Street, Paved Street",16 - 1 Story w/Bsmnt.,Composition,,0,,,,Please schedule an appointment via showingtime. The lower-level bedroom is non-conforming. The lower level may also function well as a studio-style living space. Please email the listing broker for inspection and sewer scope report after showing. Home update sheet provided in supplements. 1-year home warranty included. First American title & escrow.,"Move-in ready and beautifully updated, this classic 1941 Craftsman blends timeless charm with modern luxury. Set above the street for added privacy on a quiet dead-end lane, the home offers a peaceful retreat with thoughtful upgrades throughout. Enjoy brand-new luxury LVP flooring, fresh interior and exterior paint, and a cozy gas fireplace.The fully remodeled kitchen shines with new quartz countertops, stylish finishes, and updated cabinetry—perfect for everyday living and entertaining. The lower level has been completely transformed with a new bathroom, spacious family room, and an additional bedroom or office, offering flexible space for today’s lifestyle.Outside, the large tiered and fully fenced backyard is ideal for gardening, entertaining, or simply relaxing in your own private oasis. An attached one-car garage provides convenient parking and extra storage. Major improvements include a new roof (2025), tankless hot water system, and updated plumbing/heating for peace of mind. Located near the future Pinehurst Light Rail Station opening in 2026, with planned neighborhood enhancements including curb-protected bike lanes, upgraded bus stops—making commuting and connectivity even easier. A rare combination of character, comfort, and future convenience in an outstanding North Seattle location.",,5/13/2026 12:00:00 AM,Public,Natural Gas,Seattle City Lights,Seattle Public Utilities,,,Kimberly Shaeffer,"John L. Scott, Inc.",(206) 527-0700,,,,,MLS
2523293,1387,,,Scenic Heights,Rd,,,Oak Harbor,WA,98277,Island,Scenic Heights/Vista,813 - North Whidbey Island,1299000,1299000,,Active,1,43,3,1,1,2.25,,2507,56628,1959,,Fully Finished,1,,"Bath Off Primary, Dining Room, French Doors, Walk-in Closet","Ceramic Tile, Engineered Hardwood",,1,Garage-Attached,,Paved Street,16 - 1 Story w/Bsmnt.,Composition,,0,,,,"Appts ShowingTime, 10AM-5PM ONLY; MIN. 2-HR NOTICE. Guest house: has tenant on month-to-month lease, all appliances stay, furnishings are negotiable. Sellers would like ability to rent-back for up to 2 months. Main residence completely remodeled/new septic in 2020. Guest house w/heated RV garage/shop & storage built in 2022 has its own 2-bedroom septic and is separately metered w/EV charger, 50 amp RV outlet & RV dump port. Pre-Listing Inspections Available. Chicago Title & Escrow, Kathy Enters.","Newly refreshed and repositioned, this Sound, island and mountain view property offers both a main residence and a beautifully finished 784 sq ft detached guest cottage—creating a rare opportunity for flexible coastal living. Thoughtfully arranged for privacy and function, the property lives like a small compound, with distinct spaces that are easy to understand and enjoy. The guest cottage is a standout, designed to live like a home of its own with a bedroom, full kitchen, and quality finishes throughout. Overlooking the Sound, it provides a peaceful retreat for guests or extended stays, and is currently generating $2,300 per month in furnished rental income. A two-bedroom septic system serves the cottage, adding long-term flexibility and value. The stunningly remodeled main residence offers comfortable everyday living, while the shop with RV parking and storage provides space for hobbies, equipment and recreation. Whether you’re seeking multigenerational living, income potential, or a property that simply offers more possibilities, this one stands apart. Located in a peaceful setting only minutes from coffee shops, restaurants and shopping, yet with easy access to area beaches, outdoor recreation and charming nearby coastal communities, the property offers not just flexibility, but a lifestyle. Morning light or moonlight over the Sound, both are splendid, and can be enjoyed from both main home & guest cottage in a tranquil setting that feels both private and connected.",,5/13/2026 12:00:00 AM,Individual Well,"Electric, Propane",Puget Sound Energy,N/A - Septic,,,Mary Bryson,Windermere Whidbey Island,(360) 678-5858 x217,,,,,MLS
2519386,5731,,,12th,Ave,W,I-101,Everett,WA,98203,Snohomish,Merrill Creek,740 - Everett/Mukilteo,349950,349950,,Active,1,1,2,1,0,1.75,,953,0,1998,,,0,,,"Vinyl, Wall to Wall Carpet",Traditional,1,"Individual Garage, Uncovered",Sea Breeze At Merrill Creek,"Dead End Street, Paved Street, Secluded",30 - Condo (1 Level),Composition,,335,"Common Area Maintenance, Garbage, Lawn Service, Sewer, Water",70,"Balcony/Deck/Patio, Primary Bath, Walk-in Closet, Sprinkler System","Please use Showing Time. Home is vacant & virtually staged - Go & Show. Remove shoes or use provided booties. Dining table does not convey. Special Assessment Balance: $9,058.87. Rental Cap = 14 Units - Contact management for availability. Rules & Regs 3.8 Re: Pets - 4 domesticated pets per unit allowed. (Dogs, cats, birds, hamsters, etc.) Please include offers@novakteam.com in offer email. Title/Escrow w/Chicago, Tina Campbell.","Tucked into a quiet, tree-lined community surrounded by single-family homes, this meticulously maintained ground-floor 2-bedroom, 1.75-bath condo offers the comfort and privacy of single-family living with the ease of condo ownership—all with no stairs to navigate. Step inside to an inviting open-concept floor plan filled with natural light, anchored by a cozy gas fireplace that creates the perfect gathering space. Out back, enjoy your own private patio and secluded yard—an ideal retreat for morning coffee, summer evenings, container gardening, or simply unwinding in peaceful privacy. A private garage adds everyday convenience and extra storage, while the thoughtful single-level layout lives larger than expected and feels every bit like home. Move-in ready and exceptionally cared for, this home is nestled in a welcoming neighborhood where the pace is relaxed and neighbors know each other. HOA covers water, sewer, garbage, access to the community park and basketball court, plus the added value of a newly replaced roof. Conveniently located just minutes from Boeing, Mukilteo, and the Edmonds–Kingston ferry, this home offers the perfect blend of privacy, accessibility, comfort, and convenience.",,5/13/2026 12:00:00 AM,,Electric,PUD,HOA,,,Chuck Weinberg,Real Broker LLC,(855) 450-0442,,,,,MLS
2523648,5317,,E,L,St,,,Tacoma,WA,98404,Pierce,Se Tacoma,61 - Southeast Tacoma,529900,529900,,Active,1,184,3,2,1,2.5,,1400,2520,2025,,None,0,,,,Craftsman,1,Garage-Attached,Heritage Gardens,"Curbs, Paved Street",12 - 2 Story,Composition,,58,Common Area Maintenance,,,All clients must be registered by the buyer's real estate agent by entering a Prospect Registration Agreement. Do not call listing agent. This home is shown by appointment only. Please call ahead to schedule a tour. Contact the LGI Homes Information Center at Heritage Gardens by calling (253)268-0377  x19. *Site Registration Policy 4898,"The Cottonwood by LGI Homes is an exceptionally designed 2-story home w/ plenty of space & incredible designer extras! A sprawling covered porch entry leads to an open concept interior. The kitchen is equipped w/ a full suite of Whirlpool® appliances & quartz-topped island w/ eating space. Enjoying making the versatile game room your own! The owner's suite showcases a large walk-in closet & stunning bathroom w/ a glass-enclosed shower. LGI Homes also offers: builder- paid closing costs, $0 down options, interest rate buydowns, & MORE! If you are working with a licensed broker, please complete the Prospect Registration Agreement (*Site Registration Policy #4898) & submit prior to your first visit to the Heritage Gardens Information Center.",,5/13/2026 12:00:00 AM,Public,"Electric, Natural Gas",TPU,City of Tacoma,,,Zachary Penrod,LGI Realty,(206) 818-0807,,,,,MLS
2523283,2010,,,222nd,Ave,SE,,Sammamish,WA,98075,King,Sammamish,540 - East of Lake Sammamish,3388880,3388880,,Active,1,1,5,4,1,4.5,,6160,15300,2012,,"Daylight, Fully Finished",2,,"2nd Kitchen, Bath Off Primary, Ceiling Fan(s), Dining Room, French Doors, Jetted Tub, Vaulted Ceilings, Walk-in Pantry, Walk-in Closet, Wet Bar, Wired for Generator, Sprinkler System, Wine/Beverage Refrigerator","Ceramic Tile, Wall to Wall Carpet, Marble",,3,Carport-Attached,,"Dead End Street, Paved Street",18 - 2 Stories w/Bsmnt,"Composition, Flat",,0,,,,"Special Referee to sign off on offers, please allow 48 hours to respond. Ticor title and escrow Rhiannon Carr. Please do not open garage doors - it is important they remain locked.","Step into timeless luxury with this custom-designed Mediterranean estate overlooking picturesque Pine Lake. A dramatic double staircase and crystal chandelier create an unforgettable entry, setting the tone for refined living throughout. The main level is designed for entertaining, featuring a gourmet chef’s kitchen with high-end finishes and expansive south-facing windows that capture stunning lake views.The serene primary suite offers a spa-inspired bath and a spacious designer walk-in closet. Upstairs, two additional bedrooms and a media room with an adjoining deck provide flexible living space, with the deck prepped for a future hot tub.The lower level includes a fully equipped MIL apartment, ideal for guests, multi-generational living, or potential rental use, along with space for a future wine cellar. Thoughtful design, quality craftsmanship, and versatile living areas make this home both elegant and functional.Located in a sought-after Sammamish setting near Pine Lake, this property offers a blend of privacy, natural beauty, and convenient access to local amenities.",,5/13/2026 12:00:00 AM,Public,"Electric, Natural Gas",,Sammamish Plateau Water,,,Lori Parker,eXp Realty,(888) 317-5197,,,,,MLS
2523641,1480,,,Pecheos,Ave,,37,Buckley,WA,98321,Pierce,In Town - Buckley,111 - Buckley/South Prairie,639995,639995,,Active,1,1,5,1,1,2.25,,2335,6481,2026,,None,0,,"Bath Off Primary, Dbl Pane/Storm Windw, Dining Room, SMART Wired, Walk-in Closet","Laminate Hardwood, Laminate Tile, Vinyl Plank, Wall to Wall Carpet",NW Contemporary,3,Garage-Attached,Blueberry Farm,"Corner Lot, Cul-de-sac, Curbs, Dead End Street, Paved Street, Sidewalk",12 - 2 Story,Composition,,76,Common Area Maintenance,,,"Ask about preferred lender incentives for qualified buyers! Brokers must register their buyer on or before first visit, including open houses or SOC will be 0%. Broker may encounter unaccompanied consumers in the property. GPS: 501 Hann Street Buckley, WA, 98321. ""Blueberry Farm by D.R. Horton"" in GOOGLE MAPS. A-boards indicate location of the sales office. Schedule tours & submit offers by calling Chet at 425-491-0115, or email: Seattle-BlueberryFarm@drhorton.com","Welcome to the Cambridge plan at Blueberry Farm by D.R. Horton in Buckley. Homesite 37 offers a large backyard on a corner lot! This thoughtfully designed home offers 5 bedrooms, a spacious open-concept kitchen and great room, modern shaker cabinets, quartz countertops throughout, and a formal dining room perfect for entertaining. Enjoy year-round comfort with air conditioning, electric vehicle charging, and a 3-car garage with room for vehicles, storage, or hobbies. Home includes a fully fenced and landscaped yard, ideal for relaxing or hosting summer gatherings. This home is move in ready this summer for your backyard BBQ's and to be in your new home before the beginning of the new school year! Set in a quiet, peaceful community served by the desirable White River School District, Blueberry Farm offers a small-town feel with everyday conveniences nearby. Enjoy big box store shopping at the close by Costco, Walmart, Fred Meyer, and Safeway. Residents enjoy a community park and scenic nature trail within the community. Walking distance to nearby parks with skateparks, pickleball courts, slides, swings, and picnic benches, as well as easy access to the Foothills Trail for walking, biking, and outdoor recreation with a beautiful Pacific Northwest backdrop with nearby Mt. Rainier foothills. Ask about our preferred lender incentives available for qualified buyers! Buyers must register their broker on-site at their first visit, including open houses.",,5/13/2026 12:00:00 AM,Public,Electric,Puget Sound Energy,City of Buckley,CCRs,,Chet Proudman,D.R. Horton,(425) 821-3400,,,,,MLS
2523624,8626,,S,134th,St,,,Seattle,WA,98178,King,Renton,360 - Skyway Area,835000,835000,,Active,1,1,5,1,0,1.75,,2960,8722,1963,,Fully Finished,2,,"Dbl Pane/Storm Windw, Dining Room, Skylights","Vinyl Plank, Wall to Wall Carpet",,2,Carport-Attached,,"Curbs, Paved Street",14 - Split Entry,Composition,,0,,,,"Vacant, Easy show, KB at front door. Prefer to use First Am T&E - Team Sandy. Thanks for showing.","Discover the value and versatility of this split-entry home on a large lot in Renton, featuring Mt. Rainier views and no HOA dues. This well-cared-for home offers living space across two levels, featuring 3 bedrooms and a full bath upstairs, plus 2 additional bedrooms and a bath on the lower level. The main level includes a formal living room with a wall of windows and a balcony to enjoy the views. The kitchen offers ample cabinet and counter space, and all appliances stay. Additional features include a large rear deck with plenty of space for outdoor entertaining. Situated in a quiet neighborhood with no homes directly across the street, the property also includes an attached 2-car covered carport and generous outdoor space. Conveniently located near The Landing, shopping, dining, Lake Washington, and major freeways, with easy access to Downtown Seattle and Bellevue.",,5/13/2026 12:00:00 AM,Public,Electric,PSE,City of Renton,,,Kevin Yuen,YuenCo,(206) 569-8234,,,,,MLS
2523244,32910,,,5th,Ave,,,Black Diamond,WA,98010,King,Black Diamond,320 - Black Diamond/Maple Valley,295000,295000,,Active,1,1,3,1,0,1,,2000,46173,1900,,Unfinished,0,,,"Vinyl Plank, Wall to Wall Carpet",,0,Off Street,,"Paved Street, Secluded",16 - 1 Story w/Bsmnt.,Composition,,0,,,,"FIXER: USE EXTREME CAUTION ON-SITE, THERE IS NO POWER. NO KEYBOX. Door unlocked/cannot be secured. Most windows are broken, pls watch for glass/wear appropriate footwear. Please bring a flashlight, if visiting at dusk. DO NOT visit after dark. Pls use ShowingTime to make Appt: will auto confirm. See Supps for Survey. Pls email offers to WilcoxHomeGroup@gmail.com. Prelim Title in Supps. Seller is a Licensed RE Broker in the State of Washington.","LOOK! DEAL of the CENTURY! THERE IS NO OTHER PROPERTY QUITE LIKE THIS ONE! Your next project awaits! This FIXER on 1.06 ACRES is right in town, in BLACK DIAMOND & is ready for your NEW vision! This is a true Fixer Home on a Large lot at the end of a dead end street is zoned R4 with Power, City Sewer, City Water all on the lot. The Driveway begins where 5th Ave appears to end. Seller had a Survey & a Critical Areas Report done in 2021. There is a Partial Mountain View from part of the property - view from the upper part of the property. This Home has 3 Bedrooms, 1 Full Bathroom and Large Living, Dining and Kitchen. Lifting the House and adding some room to the Basement will offer more space - the Basement currently houses the Laundry Room, Cellar and Storage Rooms. Possible Basement Conversion to add more living space!  Do not visit property unless accompanied by a Licensed Real Estate Broker. Unfortunately: There is no Seller Financing available and we cannot accept Assignments or Subject To's. Offer must have a recent POF or Letter from Hard Money Lender.",,5/13/2026 12:00:00 AM,Public,Electric,PSE,City of Black Diamond,,,Janette Wilcox,Wilcox Real Estate,(253) 256-1721,,,,,MLS
2521669,18575,,,Skog Court,,NE,,Poulsbo,WA,98370,Kitsap,Poulsbo,166 - Poulsbo,785000,785000,,Active,1,1,3,2,1,2.5,,3484,10454,1995,,"Daylight, Fully Finished",1,,"French Doors, Jetted Tub, Sprinkler System, Walk-in Closet, Wet Bar","Hardwood, Vinyl, Wall to Wall Carpet",,2,"Driveway Parking, Garage-Attached",,"Corner Lot, Cul-de-sac, Curbs, Dead End Street, Paved Street, Sidewalk",16 - 1 Story w/Bsmnt.,Composition,,0,,,,Vacant and Staged; easy to show. Please use ShowingTime for appointments. Seller inspection available upon request. PNWT Rachel Snelson for Title and Escrow. PNWT #2-525771.,"Nestled on a spacious corner lot at the end of two quiet cul-de-sacs in the coveted Havn Heights neighborhood, this custom-built home offers exceptional comfort and timeless style. Filled with natural light, the thoughtfully designed floor plan features convenient and spacious main-floor living with a luxurious primary suite on the main level, complete with a spa-inspired 5-piece en suite and relaxing soaking tub. A dedicated office with elegant French doors provides the perfect work-from-home space, while rich hardwood floors add warmth and sophistication throughout the main living areas. The expansive lower level is ideal for entertaining and flexible living, featuring two additional bedrooms, a large bath, recreation room, and bonus room perfectly suited for a home theater, game room, or pool table. Step outside to the walkout patio and enjoy the lush, fenced garden retreat — a private oasis for relaxing or entertaining year-round. With its prime location, custom craftsmanship, and versatile living spaces, this exceptional Havn Heights home offers the perfect blend of luxury, comfort, and functionality.Conveniently located close to downtown Poulsbo shops, restaurants and waterfront.",,5/13/2026 12:00:00 AM,Public,Natural Gas,Puget Sound Energy,North Kitsap #400,,,Julie Miller,Windermere RE Bainbridge,(206) 842-5626,,,,,MLS
2523265,18390,,E,State Rt 3,,,,Allyn,WA,98524,Mason,Case Inlet,180 - North Mason,779500,779500,,Active,1,1,3,1,0,1.75,,1478,11326,1969,,None,1,,"Dbl Pane/Storm Windw, Dining Room","Ceramic Tile, Hardwood, Laminate, Wall to Wall Carpet, Vinyl Plank",Traditional,3,"Carport-Detached, Garage-Attached, Driveway Parking",,Paved Street,10 - 1 Story,Composition,,0,,,,New roof and beautiful hardwood floors throughout. Please use shoe coverings while showing the home. Property is vacant — go and show. Preliminary has been opened with Land Title. Attn: Jen Hartford. Zoning is mixed-use.,"Welcome to waterfront living on beautiful Case Inlet. Wake up each morning to breathtaking panoramic views, the peaceful sound of the water, and unforgettable sunrises right outside your door. Whether you’re sipping coffee on the deck, watching boats drift by, or enjoying evenings filled with glowing sunsets and fresh salt air, this home offers the kind of lifestyle people dream about. Perfectly positioned along the shoreline, this mixed-use zoned property offers endless opportunities — whether you’re looking for a full-time residence, weekend getaway, investment opportunity, or future business potential. Spend your days kayaking, beachcombing, fishing, or simply relaxing while taking in the ever-changing views of Case Inlet. Conveniently located just minutes from local shopping, dining, and all that Allyn has to offer, you’re never far from the community favorites that make this town so special — including the famous Big Bubba’s Burgers, the perfect stop for a raspberry milkshake after a long summer day spent on the beach. Enjoy easy access to the boat launch and dock at Allyn Waterfront Park, and spend your afternoons golfing at nearby Lakeland Village Golf Course just down the road. This isn’t just a home — it’s a lifestyle. A place where memories are made, weekends feel endless, and every day feels like a getaway in the heart of the Pacific Northwest and Puget Sound.",,5/13/2026 12:00:00 AM,Public,Electric,PUD,Mason County Utilities,,,Stephanie Shumaker,Paramount Real Estate Group,(360) 874-0500,,,,,MLS
2523266,21836,,SE,268th,St,,98038,Maple Valley,WA,98038,King,Cherokee Bay,320 - Black Diamond/Maple Valley,3000,3000,,Active,1,70,3,1,,1,Single Family Home,1160,7930,1958,,,1,,,,,,Garage-Attached,,,14 - Split Entry,,,,,,,All applicants 18 yo+ to undergo credit check. Call LA Jaipreet for any questions. Tenant to pay all Utilities and Landscaping. Tenant agent to show to earn commission. Home is vacant. Using Showing time.,"FOR RENT: Comfortable 3-bedroom home featuring an open floor plan and clear pride of ownership throughout. Meticulously maintained, freshly painted, and move-in ready. Enjoy a large, flat, fully fenced backyard—perfect for outdoor living and entertaining. Built in 1958, this home is located in a desirable community offering a private fishing lake, tennis courts, community center, and playground. Situated in the highly regarded Tahoma School District. Previously sold and now available for rent—don’t miss this opportunity.",,5/13/2026 12:00:00 AM,,Electric,,,,,Jaipreet Gill,Dulay Homes LLC,(206) 317-8282,,,,,MLS
2506267,260,,,Grey Havens,Lp,,,Orcas Island,WA,98280,San Juan,Orcas,"901 - Orcas, Obstruction & Crane Island",4250000,4250000,,Active,1,1,3,1,1,3,,2660,566280,1996,,Partially Finished,1,,"Bath Off Primary, Ceiling Fan(s), French Doors, Loft, Skylights, Vaulted Ceilings, Walk-in Closet, Walk-in Pantry","Ceramic Tile, Fir/Softwood, Wall to Wall Carpet",NW Contemporary,2,"Driveway Parking, Garage-Attached, Garage-Detached",SP Pine Ridge 5,"Dead End Street, Dirt Road, Secluded",11 - 1 1/2 Story,Metal,,900,Road Maintenance,,,"Call Listing Office before showing- tenant on site. Waterfront footage from survey map, Buyer to confirm footage. Buyer Broker must show and be present for all inspections or contractor visits for full commission.","Nestled on two waterfront parcels, totaling 13 private acres, this secluded waterfront estate offers 722 feet of beach frontage, with awe-inspired marine views accompanied by views of Mt Baker, Mt Entrance, Lummi/Cypress/Blakely Islands, and Buck Bay in Olga. A meadow surrounds 3 ponds, framed by towering maples, cedars, willows, lush ferns and mossy rock knolls. Winding trail meanders through the property and along a seasonal creek to the stairway to the beach, offering endless opportunities to enjoy nature, wildlife and marine life. Remodeled, this 3 bed/3 bath home showcases open concept design with floor to ceiling windows, a grand stone fireplace and chef’s kitchen with granite countertops, Wolf and Electrolux appliances. Newly upgraded guest studio with vacation rental permit and an additional apartment adds versatility. The property also includes established fruit and nut orchard, fully fenced garden, greenhouse, kennel, chicken coop/barn/storage building and large shop. Newly installed meter and transformer provide hook-ups for 2 additional cleared building sites on the 5 acre parcel. Private well, 1100 gallon water storage, installed irrigation. This is an idyllic sanctuary ready to help you rejuvenate and live your dream lifestyle, all in harmony with nature.",,5/13/2026 12:00:00 AM,Individual Well,"Electric, Wood",OPALCO,,CCRs,,Teri Williams,TWilliams Realty,(360) 376-8374,,,,,MLS
2517038,6903,,NE,New Brooklyn,Rd,,,Bainbridge Island,WA,98110,Kitsap,Island Center,170 - Bainbridge Island,1575000,1575000,,Active,1,1,4,2,0,2.75,,2816,97574,2019,,None,2,,"Bath Off Primary, Dbl Pane/Storm Windw, Dining Room, Fireplace (Primary BR), French Doors, Sprinkler System, Walk-in Closet, Walk-in Pantry","Ceramic Tile, Hardwood, Wall to Wall Carpet",,3,Garage-Attached,,"Dead End Street, Drought Res Landscpe, Paved Street",12 - 2 Story,Composition,,0,,,,"Please give minimum 2 hour notice for showing appointments through showingTime. Homeowners work from home. Title and Escrow with PNWT, Rachel Snelson. Seller inspection report available upon request.","Beautifully crafted with timeless style and attention to detail, this spacious home showcases rich wood floors, elegant wainscoting, crown molding, and thoughtfully designed living spaces throughout. The open chef’s kitchen is the heart of the home, featuring a large quartz island, walk-in pantry, pot filler, double oven/microwave combo, and stainless appliances including a 36-inch gas range and hood. The adjacent formal dining room offers seamless flow for entertaining and gatherings. The living room features a cozy fireplace, custom built-ins, and access to the  covered patio for effortless indoor-outdoor living. A dedicated main-floor office provides ideal work-from-home flexibility. Upstairs, the luxurious primary suite offers a private retreat with its own fireplace, spa-inspired ensuite bath, and generous walk-in closets. Three additional bedrooms—all with walk-in closets—share a full bath, while the spacious bonus/family room creates the perfect space for movie nights, playroom, or media lounge. Set on a sunny, beautifully landscaped lot surrounded by magnificent evergreens, the property includes a 3-car garage with room for storage or workshop space, a large covered patio, firepit area, and trails through adjacent forested wetlands. Located near Woodward Middle School, Coppertop, BARN Community Arts & Crafts, parks, trails, Winslow, , restaurants, shops, and the Seattle ferry for convenient island living with easy access to everything Bainbridge has to offer.",,5/13/2026 12:00:00 AM,Shared Well,"Electric, Propane",Puget Sound Energy,Septic,,,Julie Miller,Windermere RE Bainbridge,(206) 842-5626,,,,,MLS
2520834,118,,,Skipping Stone,Lp,,,Lynden,WA,98264,Whatcom,Lynden,885 - Lynden,599000,599000,,Active,1,1,2,0,1,2,,1458,1742,2026,,,1,,,"Ceramic Tile, Vinyl Plank",Modern,,"Carport, Individual Garage",River-Walk,"Curbs, Paved Street",31 - Condo (2 Levels),Composition,,104,"Common Area Maintenance, Road Maintenance, Snow Removal",75,"Balcony/Deck/Patio, Insulated Windows, Primary Bath, Vaulted Ceilings","Please use Whatcom Land Title, Becca Wilson for escrow. Taxes are based on land values only. Buyer to pay $190 Operating Expense at closing. Call LA for more information. Commission paid on base price of home only, not to include upgrades or concessions. Open houses weekly, Wednesday - Saturday 12-4pm and Sunday 1-3pm.","WELCOME to River-Walk! Introducing Lot 26, a spacious 1458 sqft home featuring 2 beds & 3 baths, complete with an array of upgrades. The heart of this home is the gourmet kitchen, boasting elegant quartz countertops & an island with full waterfall drops, making it perfect for both cooking & entertaining. Each bathroom is designed for both style & practicality, featuring sleek solid surface showers for low-maintenance cleanup. Step outside to your expansive deck, ideal for gatherings with friends, complete with ample seating & a ceiling fan to keep you cool during those warm summer days. Experience the perfect blend of luxury and community at River-Walk where your dream home becomes reality.",,5/13/2026 12:00:00 AM,,"Electric, Natural Gas",PSE,City of Lynden,,,Sheri Davis,Keller Williams Western Realty,(360) 738-7070,,,,,MLS
2521766,2773,,,44th,Ave,SW,A,Seattle,WA,98116,King,Admiral,140 - West Seattle,995000,995000,,Active,1,1,3,2,1,2.5,,2092,2676,1906,,Fully Finished,0,,"2nd Kitchen, Bath Off Primary, Dbl Pane/Storm Windw, Sauna, Skylights, Vaulted Ceilings, Walk-in Pantry, Wine/Beverage Refrigerator","Ceramic Tile, Engineered Hardwood, Vinyl Plank",Craftsman,0,None,,"Corner Lot, Curbs, Paved Street, Sidewalk",18 - 2 Stories w/Bsmnt,Composition,,4.17,,,,"Showing Time for instant Confirmation. Inspection/Sewer Inspection Available upon Request. Ticor (Team Taylor) Please use form 28. Offers if any due. Blue Tape Walkthrough Provided Prior to Closing. Closing Cost Incentive with Augustus Bukowski (Loan Depot) 206-380-9989 Condo Docs Link: https://www.dropbox.com/scl/fo/xvoh5coipwhh9w8znuoka/AB4w9vc-8cib1nSATphnRAk?rlkey=6sxxsurfi8qhr59nxniv7x6yc&e=1&st=08tvxj03&dl=0 Call/text for any additional Info.","Thoughtfully restored 2 story Craftsman with lower level mil in West Seattle’s Admiral neighborhood blending modern nostalgia with timeless design. Gorgeous custom built-in entry cabinetry and bench welcome you into light-filled living spaces featuring designer fixtures, ceiling medallion molding, and custom hand railings throughout. Chef-inspired kitchen with butler’s pantry, rinse station, and stunning arched built-in wet bar with wine fridge. Spacious primary suite offers vaulted ceilings, Cascade views, dual walk-in closets with brass chandelier, and luxe 5-piece bath with heated floors, dual shower heads, separate vanities, pink soaking tub, and skylight. Flexible office nook/storage space plus 1 bed/1 bath flex living ideal for guests, rental, or multigenerational living. Enjoy 2 expansive decks, fully fenced yard, and new barrel sauna. Minutes to Alki Beach, Fauntleroy Ferry Terminal, and California Ave. Welcome Home.",,5/13/2026 12:00:00 AM,Public,Electric,Seattle City Light,Seattle Public Utilities,CCRs,,Jennifer Bryant,Inspire Realty,(253) 365-1778,,,,,MLS
2523027,6211,,,Carleton,Ave,S,,Seattle,WA,98108,King,Georgetown,385 - SODO/Beacon Hill,679000,679000,,Active,1,1,3,2,0,2,,1150,3630,1911,,None,0,,"Bath Off Primary, Dining Room, Triple Pane Windows, Walk-in Closet","Ceramic Tile, Engineered Hardwood, Wall to Wall Carpet",,0,"Driveway Parking, Off Street",,"Alley, Curbs, Drought Res Landscpe, Paved Street, Sidewalk",12 - 2 Story,Composition,,0,,,,"GO SHOW WITH SHOWING TIME. Gate Code 0199 if you park off Alley. Seller inspection & sewer scope available after showing, email/text LB. Old Republic Title & Escrow (Binh Tran pls). Potential for DADU addition, Buyer to verify.","Discover this beautifully updated 3-bedroom, 2-bath standalone home in the heart of Seattle’s vibrant Georgetown neighborhood. Fully renovated in 2016, this 1,150 sq ft residence blends modern comfort with classic charm, featuring an inviting front porch perfect for relaxing mornings and a sun-soaked west-facing back deck ideal for evening gatherings. The expansive backyard offers endless possibilities, from gardening and entertaining to the potential for a detached accessory dwelling unit (DADU), adding flexibility for future living space or rental income. Georgetown is one of Seattle’s most distinctive and creative communities, known for its eclectic mix of historic character and thriving arts scene. Just minutes from Downtown Seattle, SoDo, and the Stadium District, this location offers exceptional commuter convenience with quick access to I-5, I-90, Highway 99, and Sea-Tac Airport. Whether heading into the city for work or traveling beyond, connectivity is effortless. The neighborhood is a destination in itself, celebrated for its award-winning restaurants, popular breweries, artisan coffee shops, and lively music venues. Additional highlights include proximity to schools, parks, and everyday amenities, along with off-alley parking for three vehicles—an increasingly rare convenience in Seattle. This property offers a unique opportunity to enjoy a move-in-ready home with future development potential, all within one of the city’s most character-rich neighborhoods.",,5/13/2026 12:00:00 AM,Public,"Electric, Natural Gas",Seattle City Light,Seattle Public Utilities,,,Kelly Byrne,Blue Pacific Real Estate,(206) 650-9419,,,,,MLS
